Nome,Ruolo,Quotazione
Meret,Por,19
Svilar,Por,16
Milinkovic-Savic V.,Por,16
De Gea,Por,16
Carnesecchi,Por,15
Sommer,Por,15
Di Gregorio,Por,14
Maignan,Por,14
Caprile,Por,14
Skorupski,Por,13
Leali,Por,13
Mandas,Por,12
Falcone,Por,11
Suzuki,Por,11
Vasquez D.,Por,10
Turati,Por,10
Butez,Por,10
Martinez Jo.,Por,8
Okoye,Por,8
Montipo',Por,8
Stankovic F.,Por,8
Radu I.,Por,8
Provedel,Por,7
Ravaglia F.,Por,6
Sava,Por,4
Reina,Por,3
Sommariva,Por,3
Terracciano,Por,2
Perin,Por,2
Sportiello,Por,2
Joronen,Por,2
Perilli,Por,2
Pizzignacco,Por,2
Siegrist,Por,2
Rossi F.,Por,1
Bagnolini,Por,1
Scuffet,Por,1
Sherri,Por,1
Vigorito,Por,1
Martinelli T.,Por,1
Gollini,Por,1
Di Gennaro,Por,1
Pinsoglio,Por,1
Furlanetto,Por,1
Fruchtl,Por,1
Samooja,Por,1
Nava,Por,1
Contini,Por,1
Corvi,Por,1
Paleari,Por,1
Padelli,Por,1
Grandi,Por,1
Berardi A.,Por,1
Brancolini,Por,1
Ciocci,Por,1
Torriani,Por,1
Donnarumma An.,Por,1
Silvestri,Por,1
Mazza,Por,1
Marin Re.,Por,1
Rui Patricio,Por,1
Seghetti,Por,1
Piana,Por,1
Marcone,Por,1
Calligaris,Por,1
De Marzi,Por,1
Dimarco,E,21
Dumfries,E,19
Zortea,Dd;Ds;E,18
Carlos Augusto,E,17
Bastoni,Dc,16
Gosens,E,16
Di Lorenzo,B;Dd;E,15
Zappacosta,E,14
Martin,Ds;E,14
Cambiaso,Dd;Ds;E,14
Mancini,Dc,14
Angelino,Ds;E,14
Dodo',Dd;E,13
Hernandez T.,Ds;E,13
Valeri,Ds;E,13
Bisseck,Dc,12
Darmian,B;Dd;E,12
Tavares N.,Ds;E,12
Birindelli,Dd;Ds;E,12
Rrahmani,Dc,12
Delprato,B;Dd;E,12
Bellanova,E,12
Luperto,Dc,11
Vasquez,Ds;Dc,11
De Vrij,Dc,11
Marusic,Dd;Ds;E,11
Kyriakopoulos,Ds;E,11
Buongiorno,Dc,11
Spinazzola,E,11
Gigot,Dc,11
Miranda J.,Ds;E,10
Augello,Ds;E,10
Ismajli,Dc,10
Cacace,Ds;E,10
Pezzella Giu.,Ds;E,10
Parisi,Ds;E,10
Gatti,Dc,10
Baschirotto,Dd;Dc,10
Gabbia,Dc,10
N'Dicka,Dc,10
Mina,Dc,9
Ranieri L.,Ds;Dc,9
De Winter,Dd;Dc,9
Gila,Dc,9
Gaspar K.,Dc,9
Kalulu,Dd;Dc,9
Olivera,B;Ds;E,10
Lazaro,E,9
Kamara H.,Ds;E,9
Idzes,Dc,9
Pavlovic,Dc,9
Solet,Dc,9
Djimsiti,Dc,8
Ruggeri,E,8
Beukema,Dc,8
Zappa,B;Dd;E,8
Viti,Dc,8
Acerbi,Dc,8
Bremer,Dc,8
Romagnoli,Dc,8
Pellegrini Lu.,Ds;E,8
Valenti,Dc,8
Vojvoda,B;Dd;E,8
Masina,B;Ds;E,8
Bijol,Dc,8
Tchatchoua,Dd;E,8
Savona,B;Dd;E,8
Cuadrado,E,8
Maripan,Dc,8
Walker,B;Dd;E,9
Holm,Dd;E,7
Lykogiannis,Ds;E,7
Comuzzo,Dc,7
Biraghi,B;Ds;E,7
Sabelli,Dd;Ds;E,7
Pavard,Dd;Dc,7
Tomori,Dc,7
Coppola D.,Dc,7
Haps,Ds;E,7
Jimenez A.,Dd;Ds;E,7
Kolasinac,B;Ds;E,6
Obert,Dc,6
Goldaniga,Dc,6
Zanoli,Dd;E,6
Mari',Dc,6
Coco,Dc,6
Kabasele,Dc,6
Ehizibue,Dd;E,6
Emerson Royal,B;Dd;Ds,6
Leoni,Dc,6
Kempf,Dc,6
Bradaric,Ds;E,6
Candè,Ds;Dc,6
Kelly L.,Ds;Dc,6
Hien,Dc,5
Lucumi',Dc,5
De Silvestri,Dd;E,5
Moreno Alb.,Ds;E,5
Goglichidze,Dd;Dc,5
Pongracic,Dc,5
Bani,Dc,5
Lazzari,Dd;E,5
Hysaj,Dd;Ds;E,5
Gallo,Ds;E,5
Celik,Dd;E,5
Zemura,Ds;E,5
Palomino,Dc,5
Guilbert,B;Dd;Ds,5
Schingtienne,Dd;Dc,5
Kossounou,Dd;Dc,5
Van Der Brempt,Dd;E,5
Alberto Costa,Dd;E,5
Rensch,B;Dd;E,6
Veiga D.,Dd;E,5
Valle,Ds;E,5
Dossena,Dc,4
Walukiewicz,Dc,4
Ebuehi,Dd;E,4
Vogliacco,Dd;Dc,4
De Sciglio,Dd;Ds;E,4
Calabria,Dd;E,4
Izzo,Dc,4
Carboni A.,Ds;Dc,4
Pereira P.,Dd;E,4
Balogh,Dc,4
Kristensen T.,Dc,4
Zampano,Dd;Ds;E,4
Dawidowicz,Dc,4
Ghilardi,Dc,4
Erlic,Dc,4
Marianucci,Dc,4
Norton-Cuffy,Dd;E,4
Dembele' A.,E,4
Jean,Dc,4
Valentini N.,Dc,4
Nelsson,Dc,4
Toloi,Dc,3
Marcandalli,Dc,3
Casale,Dc,3
Thiaw,Dc,3
Juan Jesus,Ds;Dc,3
Palestra,E,3
Pedersen,E,3
Hummels,Dc,3
Ahanor,B;Ds;E,3
Smolcic I.,B;Dd;E,3
Posch,Dd;Dc,2
Matturro,Dc,2
Cabal,B;Ds;E,2
Caldirola,Ds;Dc,2
Marin R.,Dc,2
Circati,Dc,2
Giannetti L.,Dc,2
Svoboda,Dc,2
Sverko,B;Ds;E,2
Frese,Ds;E,2
